Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   10, 12177.50, 1217.750000, 186.613281
   10, 14481.56, 1448.156250, 186.624219
   10, 17221.56, 1722.156250, 186.839453
   10, 20480.00, 2048.000000, 186.746289
   10, 24355.00, 2435.500000, 186.166699
   10, 28963.12, 2896.312500, 186.197559
   10, 34443.12, 3444.312500, 186.175293
   10, 40960.00, 4096.000000, 186.215039
   10, 48709.92, 4870.992188, 185.955859
   10, 57926.17, 5792.617188, 186.629004
   10, 68886.25, 6888.625000, 186.166309
   10, 81920.00, 8192.000000, 186.475000
   10, 97419.84, 9741.984375, 186.399512
   10, 115852.34, 11585.234375, 186.843848
   10, 137772.50, 13777.250000, 185.736914
   10, 163840.00, 16384.000000, 186.945020
   10, 194839.69, 19483.968750, 186.388574
   10, 231704.77, 23170.476562, 186.960547
   10, 275544.92, 27554.492188, 186.172168
   10, 327680.00, 32768.000000, 186.184961
   10, 389679.38, 38967.937500, 186.392578
   10, 463409.53, 46340.953125, 186.644922
   10, 551089.84, 55108.984375, 186.413379
   11,    0.09, 0.007812, 185.316016
   11,    0.09, 0.007812, 185.539453
   11,    0.09, 0.007812, 185.315918
   11,    0.17, 0.015625, 185.543848
   11,    0.17, 0.015625, 185.325195
   11,    0.17, 0.015625, 185.567285
   11,    0.26, 0.023438, 185.929688
   11,    0.26, 0.023438, 185.534961
   11,    0.34, 0.031250, 185.924023
   11,    0.43, 0.039062, 186.328809
   11,    0.52, 0.046875, 186.302539
   11,    0.60, 0.054688, 186.523633
   11,    0.69, 0.062500, 186.548340
   11,    0.86, 0.078125, 186.603125
   11,    0.95, 0.085938, 186.303027
   11,    1.12, 0.101562, 186.534473
   11,    1.38, 0.125000, 186.523438
   11,    1.63, 0.148438, 186.538965
   11,    1.98, 0.179688, 186.120117
   11,    2.32, 0.210938, 187.022266
   11,    2.75, 0.250000, 186.308301
   11,    3.27, 0.296875, 186.538770
   11,    3.87, 0.351562, 186.522559
   11,    4.64, 0.421875, 186.526855
   11,    5.50, 0.500000, 186.528320
   11,    6.53, 0.593750, 187.139355
   11,    7.82, 0.710938, 186.156348
   11,    9.28, 0.843750, 186.516406
   11,   11.00, 1.000000, 186.331836
   11,   13.06, 1.187500, 186.719922
   11,   15.55, 1.414062, 186.313379
   11,   18.48, 1.679688, 186.311719
   11,   22.00, 2.000000, 187.143555
   11,   26.12, 2.375000, 186.181934
   11,   31.11, 2.828125, 186.509668
   11,   37.04, 3.367188, 186.315137
   11,   44.00, 4.000000, 186.517676
   11,   52.34, 4.757812, 186.104102
   11,   62.22, 5.656250, 186.125781
   11,   73.99, 6.726562, 187.350684
   11,   88.00, 8.000000, 186.509668
   11,  104.67, 9.515625, 186.302637
   11,  124.44, 11.312500, 186.108691
   11,  147.98, 13.453125, 186.511426
   11,  176.00, 16.000000, 186.295801
   11,  209.26, 19.023438, 186.819531
   11,  248.88, 22.625000, 186.039746
   11,  295.97, 26.906250, 186.321289
   11,  352.00, 32.000000, 186.317383
   11,  418.60, 38.054688, 186.514941
   11,  497.84, 45.257812, 186.521973
   11,  592.02, 53.820312, 186.914648
   11,  704.00, 64.000000, 186.757324
   11,  837.20, 76.109375, 186.114258
   11,  995.59, 90.507812, 186.713965
   11, 1183.96, 107.632812, 186.721289
   11, 1408.00, 128.000000, 186.515430
   11, 1674.41, 152.218750, 186.532715
   11, 1991.17, 181.015625, 186.723828
